"Observation station","Year","Month","Day","Time [UTC]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]"
"Helsinki Kumpula","2021","10","1","00:00","9.2","9.3","9.1","80","4.7"
"Helsinki Kumpula","2021","10","1","01:00","9","9.1","8.8","82","5.1"
"Helsinki Kumpula","2021","10","1","02:00","9","9","8.8","83","5"
"Helsinki Kumpula","2021","10","1","03:00","8.9","8.9","8.8","84","4.5"
"Helsinki Kumpula","2021","10","1","04:00","8.6","8.9","8.3","90","4.8"
"Helsinki Kumpula","2021","10","1","05:00","8.2","8.3","8.1","96","4.3"
"Helsinki Kumpula","2021","10","1","06:00","8.3","8.4","8.1","97","4.1"
"Helsinki Kumpula","2021","10","1","07:00","8.5","8.7","8.4","97","3.9"
"Helsinki Kumpula","2021","10","1","08:00","8.8","9","8.6","97","3.2"
"Helsinki Kumpula","2021","10","1","09:00","9.2","9.3","9","96","3.7"
"Helsinki Kumpula","2021","10","1","10:00","9.6","9.9","9.3","96","3.8"
"Helsinki Kumpula","2021","10","1","11:00","10.3","10.8","9.9","95","3.5"
"Helsinki Kumpula","2021","10","1","12:00","10.7","11","10.6","92","3.5"
"Helsinki Kumpula","2021","10","1","13:00","10.7","10.8","10.6","92","3.9"
"Helsinki Kumpula","2021","10","1","14:00","10.5","10.7","10.3","92","5"
"Helsinki Kumpula","2021","10","1","15:00","10.3","10.3","10.2","92","4.5"
"Helsinki Kumpula","2021","10","1","16:00","10.3","10.4","10.2","90","5"
"Helsinki Kumpula","2021","10","1","17:00","10.3","10.4","10.2","89","4.9"
"Helsinki Kumpula","2021","10","1","18:00","10.4","10.5","10.4","88","5.2"
"Helsinki Kumpula","2021","10","1","19:00","10.2","10.4","9.8","89","4.1"
"Helsinki Kumpula","2021","10","1","20:00","10.1","10.2","9.7","89","4.3"
"Helsinki Kumpula","2021","10","1","21:00","10.2","10.2","10.1","87","4.4"
"Helsinki Kumpula","2021","10","1","22:00","10.2","10.2","10.1","87","4.1"
"Helsinki Kumpula","2021","10","1","23:00","10.1","10.2","10.1","87","4.3"
"Helsinki Kumpula","2021","10","2","00:00","9.9","10.1","9.8","88","4.4"
"Helsinki Kumpula","2021","10","2","01:00","9.8","9.8","9.7","89","4.1"
"Helsinki Kumpula","2021","10","2","02:00","10","10.2","9.8","88","3.8"
"Helsinki Kumpula","2021","10","2","03:00","10.1","10.1","10","81","3.9"
"Helsinki Kumpula","2021","10","2","04:00","10","10","9.8","81","4.1"
"Helsinki Kumpula","2021","10","2","05:00","9.7","9.9","9.6","83","4.8"
"Helsinki Kumpula","2021","10","2","06:00","9.5","9.6","9.4","84","4.4"
"Helsinki Kumpula","2021","10","2","07:00","9.9","10.5","9.5","87","3.7"
"Helsinki Kumpula","2021","10","2","08:00","10.5","10.9","10.3","86","5"
"Helsinki Kumpula","2021","10","2","09:00","11.4","11.9","11","82","5.6"
"Helsinki Kumpula","2021","10","2","10:00","11.4","11.7","11.2","81","5.2"
"Helsinki Kumpula","2021","10","2","11:00","11.7","12.1","11.3","78","5.8"
"Helsinki Kumpula","2021","10","2","12:00","11.6","11.8","11.5","77","5.9"
"Helsinki Kumpula","2021","10","2","13:00","12.3","12.8","11.7","75","5"
"Helsinki Kumpula","2021","10","2","14:00","12.7","12.9","12.2","73","4.5"
"Helsinki Kumpula","2021","10","2","15:00","12.1","12.4","11.7","78","4.4"
"Helsinki Kumpula","2021","10","2","16:00","11.1","11.7","10.6","85","3.7"
"Helsinki Kumpula","2021","10","2","17:00","10.6","11","10.4","87","4"
"Helsinki Kumpula","2021","10","2","18:00","11.6","12","10.9","78","4.9"
"Helsinki Kumpula","2021","10","2","19:00","11.4","11.7","11.1","80","6"
"Helsinki Kumpula","2021","10","2","20:00","11.1","11.3","10.9","80","5.5"
"Helsinki Kumpula","2021","10","2","21:00","10.8","11","10.7","78","5"
"Helsinki Kumpula","2021","10","2","22:00","10.5","10.8","10.1","79","4.3"
"Helsinki Kumpula","2021","10","2","23:00","10.3","10.6","9.8","78","4.7"
"Helsinki Kumpula","2021","10","3","00:00","10","10.4","9.7","81","4.8"
"Helsinki Kumpula","2021","10","3","01:00","9.6","9.8","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","02:00","9.6","9.8","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","03:00","9.6","9.7","9.4","81","5.3"
"Helsinki Kumpula","2021","10","3","04:00","9.2","9.4","9","83","5.4"
"Helsinki Kumpula","2021","10","3","05:00","8.9","9","8.8","84","5.7"
"Helsinki Kumpula","2021","10","3","06:00","9.3","9.7","8.9","83","7.1"
"Helsinki Kumpula","2021","10","3","07:00","10.3","10.7","9.7","80","7.1"
"Helsinki Kumpula","2021","10","3","08:00","10.9","11.4","10.7","78","7.4"
"Helsinki Kumpula","2021","10","3","09:00","11.5","11.7","11.2","77","6.8"
"Helsinki Kumpula","2021","10","3","10:00","11.8","12","11.4","77","7.5"
"Helsinki Kumpula","2021","10","3","11:00","12","12.1","11.8","78","7.7"
"Helsinki Kumpula","2021","10","3","12:00","12.6","13","12.2","77","7"
"Helsinki Kumpula","2021","10","3","13:00","12.9","13.1","12.7","76","7.3"
"Helsinki Kumpula","2021","10","3","14:00","13","13.2","12.7","75","6.2"
"Helsinki Kumpula","2021","10","3","15:00","12.7","12.9","12.6","77","6.8"
"Helsinki Kumpula","2021","10","3","16:00","12.5","12.6","12.3","79","8"
"Helsinki Kumpula","2021","10","3","17:00","12.2","12.3","11.8","82","7.7"
"Helsinki Kumpula","2021","10","3","18:00","11.7","11.9","11.5","85","6.5"
"Helsinki Kumpula","2021","10","3","19:00","11.4","11.5","11.2","87","6.1"
"Helsinki Kumpula","2021","10","3","20:00","11.2","11.3","11","87","6.1"
"Helsinki Kumpula","2021","10","3","21:00","11","11.2","10.8","86","6.6"
"Helsinki Kumpula","2021","10","3","22:00","10.6","10.8","10.5","87","6.3"
"Helsinki Kumpula","2021","10","3","23:00","10.3","10.5","10","87","6.5"
"Helsinki Kumpula","2021","10","4","00:00","10","10.2","9.9","86","6.4"
"Helsinki Kumpula","2021","10","4","01:00","9.9","10.1","9.7","85","6.6"
"Helsinki Kumpula","2021","10","4","02:00","9.6","9.8","9.5","85","6.8"
"Helsinki Kumpula","2021","10","4","03:00","9.4","9.5","9.2","85","7.1"
"Helsinki Kumpula","2021","10","4","04:00","9.1","9.4","8.9","85","7.2"
"Helsinki Kumpula","2021","10","4","05:00","9","9.1","8.9","86","7.2"
"Helsinki Kumpula","2021","10","4","06:00","9.4","9.7","9.1","84","6.8"
"Helsinki Kumpula","2021","10","4","07:00","10","10.3","9.6","81","5.9"
"Helsinki Kumpula","2021","10","4","08:00","10.9","11.5","10.3","76","6"
"Helsinki Kumpula","2021","10","4","09:00","11.5","12","11","73","7"
"Helsinki Kumpula","2021","10","4","10:00","12","12.5","11.8","71","7.2"
"Helsinki Kumpula","2021","10","4","11:00","12.5","12.9","12.2","72","6.8"
"Helsinki Kumpula","2021","10","4","12:00","13.6","14.4","12.9","68","7"
"Helsinki Kumpula","2021","10","4","13:00","14.2","14.3","14","66","6.1"
"Helsinki Kumpula","2021","10","4","14:00","13.9","14","13.8","67","6.2"
"Helsinki Kumpula","2021","10","4","15:00","14","14.1","13.7","67","6.2"
"Helsinki Kumpula","2021","10","4","16:00","13.9","14","13.8","67","6.8"
"Helsinki Kumpula","2021","10","4","17:00","13.3","13.9","12.8","72","6.3"
"Helsinki Kumpula","2021","10","4","18:00","12.8","13","12.6","75","6.1"
"Helsinki Kumpula","2021","10","4","19:00","12.5","12.7","12.4","75","5.8"
"Helsinki Kumpula","2021","10","4","20:00","12.6","12.7","12.4","73","6.5"
"Helsinki Kumpula","2021","10","4","21:00","12.5","12.6","12.3","73","6.8"
"Helsinki Kumpula","2021","10","4","22:00","12.4","12.5","12.3","72","7"
"Helsinki Kumpula","2021","10","4","23:00","12.2","12.4","12.2","73","6.5"
"Helsinki Kumpula","2021","10","5","00:00","12.1","12.2","11.9","73","6.4"
"Helsinki Kumpula","2021","10","5","01:00","11.8","11.9","11.6","75","6.3"
"Helsinki Kumpula","2021","10","5","02:00","11.6","11.7","11.4","76","6"
"Helsinki Kumpula","2021","10","5","03:00","11.6","11.7","11.5","77","5.6"
"Helsinki Kumpula","2021","10","5","04:00","11.5","11.6","11.4","76","5.9"
"Helsinki Kumpula","2021","10","5","05:00","11.4","11.5","11.4","78","6"
"Helsinki Kumpula","2021","10","5","06:00","11.3","11.4","11.2","78","5.5"
"Helsinki Kumpula","2021","10","5","07:00","11.2","11.3","11.1","79","5.7"
"Helsinki Kumpula","2021","10","5","08:00","10.8","11.2","10.3","83","4.9"
"Helsinki Kumpula","2021","10","5","09:00","10.2","10.4","10","90","5.1"
"Helsinki Kumpula","2021","10","5","10:00","10","10.1","9.9","92","5.2"
"Helsinki Kumpula","2021","10","5","11:00","9.9","10","9.8","92","5.5"
"Helsinki Kumpula","2021","10","5","12:00","9.9","9.9","9.8","93","5.1"
"Helsinki Kumpula","2021","10","5","13:00","9.8","9.8","9.7","93","5.2"
"Helsinki Kumpula","2021","10","5","14:00","9.8","9.9","9.8","93","4.6"
"Helsinki Kumpula","2021","10","5","15:00","9.8","9.9","9.6","94","3.9"
"Helsinki Kumpula","2021","10","5","16:00","9.7","9.8","9.6","96","3.8"
"Helsinki Kumpula","2021","10","5","17:00","10","10.3","9.8","93","4.6"
"Helsinki Kumpula","2021","10","5","18:00","10.3","10.4","10.2","88","4.7"
"Helsinki Kumpula","2021","10","5","19:00","10.5","10.7","10.3","86","4.8"
"Helsinki Kumpula","2021","10","5","20:00","10.8","11.1","10.6","81","5.1"
"Helsinki Kumpula","2021","10","5","21:00","10.9","11","10.8","80","5.3"
"Helsinki Kumpula","2021","10","5","22:00","10.9","11","10.8","79","5.8"
"Helsinki Kumpula","2021","10","5","23:00","10.8","10.9","10.6","79","5.7"
"Helsinki Kumpula","2021","10","6","00:00","11","11.2","10.7","78","5.9"
"Helsinki Kumpula","2021","10","6","01:00","11","11.2","10.9","77","6"
"Helsinki Kumpula","2021","10","6","02:00","10.9","11","10.7","77","6"
"Helsinki Kumpula","2021","10","6","03:00","10.6","10.7","10.5","78","6.1"
"Helsinki Kumpula","2021","10","6","04:00","10.6","10.7","10.5","78","6.4"
"Helsinki Kumpula","2021","10","6","05:00","10.6","10.7","10.6","76","6.4"
"Helsinki Kumpula","2021","10","6","06:00","10.5","10.7","10.4","77","6.2"
"Helsinki Kumpula","2021","10","6","07:00","10.4","10.5","10.3","78","5.5"
"Helsinki Kumpula","2021","10","6","08:00","11.2","12.3","10.4","73","6.1"
"Helsinki Kumpula","2021","10","6","09:00","12.2","12.7","11.7","70","5.8"
"Helsinki Kumpula","2021","10","6","10:00","12.6","13","12.3","67","6.4"
"Helsinki Kumpula","2021","10","6","11:00","12.6","13.1","12.2","67","6"
"Helsinki Kumpula","2021","10","6","12:00","12.8","13","12.5","67","5.5"
"Helsinki Kumpula","2021","10","6","13:00","13.1","13.5","12.8","65","5.1"
"Helsinki Kumpula","2021","10","6","14:00","13.5","13.9","13.3","64","5.6"
"Helsinki Kumpula","2021","10","6","15:00","13.2","13.3","13.1","65","5.2"
"Helsinki Kumpula","2021","10","6","16:00","13.1","13.1","13","66","5"
"Helsinki Kumpula","2021","10","6","17:00","13.2","13.9","12.7","67","5.3"
"Helsinki Kumpula","2021","10","6","18:00","13.1","13.2","12.9","69","4.7"
"Helsinki Kumpula","2021","10","6","19:00","13","13.2","12.8","70","4.3"
"Helsinki Kumpula","2021","10","6","20:00","12.8","12.9","12.6","72","4.7"
"Helsinki Kumpula","2021","10","6","21:00","12.9","13.1","12.7","69","5.4"
"Helsinki Kumpula","2021","10","6","22:00","12.8","12.9","12.7","69","6"
"Helsinki Kumpula","2021","10","6","23:00","12.7","12.9","12.5","67","6.2"
"Helsinki Kumpula","2021","10","7","00:00","12.4","12.5","12.3","69","6.2"
"Helsinki Kumpula","2021","10","7","01:00","12.3","12.5","12.2","68","7.6"
"Helsinki Kumpula","2021","10","7","02:00","11.8","12.2","11.5","71","6.4"
"Helsinki Kumpula","2021","10","7","03:00","11.4","11.6","11","74","6.4"
"Helsinki Kumpula","2021","10","7","04:00","10.8","11.1","10.6","77","7"
"Helsinki Kumpula","2021","10","7","05:00","10.6","10.8","10.3","76","7"
"Helsinki Kumpula","2021","10","7","06:00","10.4","10.5","10.2","76","7.4"
"Helsinki Kumpula","2021","10","7","07:00","10.9","11.6","10.4","75","6.6"
"Helsinki Kumpula","2021","10","7","08:00","11.6","12","11.2","73","7.3"
"Helsinki Kumpula","2021","10","7","09:00","11.8","12.2","11.6","74","6.8"
"Helsinki Kumpula","2021","10","7","10:00","11.6","11.9","11.4","76","6.5"
"Helsinki Kumpula","2021","10","7","11:00","11.2","11.4","10.6","80","6.7"
"Helsinki Kumpula","2021","10","7","12:00","10.4","10.6","10.2","90","6.8"
"Helsinki Kumpula","2021","10","7","13:00","10","10.3","9.9","95","7"
"Helsinki Kumpula","2021","10","7","14:00","9.9","9.9","9.8","97","6.8"
"Helsinki Kumpula","2021","10","7","15:00","10","10.1","9.9","96","6.8"
"Helsinki Kumpula","2021","10","7","16:00","10.1","10.2","10","96","6.6"
"Helsinki Kumpula","2021","10","7","17:00","10.4","10.5","10.2","93","7"
"Helsinki Kumpula","2021","10","7","18:00","10.3","10.5","10.2","93","6.8"
"Helsinki Kumpula","2021","10","7","19:00","10.7","10.9","10.5","90","6.8"
"Helsinki Kumpula","2021","10","7","20:00","10.9","11.1","10.8","90","5.9"
"Helsinki Kumpula","2021","10","7","21:00","11","11","10.9","92","5.6"
"Helsinki Kumpula","2021","10","7","22:00","10.9","11","10.8","95","4.1"
"Helsinki Kumpula","2021","10","7","23:00","11","11.1","10.9","94","3.9"
"Helsinki Kumpula","2021","10","8","00:00","11","11.1","10.9","92","3.8"
"Helsinki Kumpula","2021","10","8","01:00","11","11","10.9","93","3.9"
"Helsinki Kumpula","2021","10","8","02:00","11","11.1","10.9","91","4.3"
"Helsinki Kumpula","2021","10","8","03:00","11.1","11.1","11","93","3.8"
"Helsinki Kumpula","2021","10","8","04:00","11.1","11.2","11.1","92","3.9"
"Helsinki Kumpula","2021","10","8","05:00","11.1","11.2","11","92","3.5"
"Helsinki Kumpula","2021","10","8","06:00","11.2","11.3","11.1","92","4.1"
"Helsinki Kumpula","2021","10","8","07:00","11.3","11.3","11.2","90","3.9"
"Helsinki Kumpula","2021","10","8","08:00","11.4","11.5","11.3","89","4.4"
"Helsinki Kumpula","2021","10","8","09:00","11.4","11.7","11.3","90","5.2"
"Helsinki Kumpula","2021","10","8","10:00","12","12.2","11.8","88","5.5"
"Helsinki Kumpula","2021","10","8","11:00","11.8","12.7","11.5","87","5.1"
"Helsinki Kumpula","2021","10","8","12:00","11.9","12.2","11.5","86","5.1"
"Helsinki Kumpula","2021","10","8","13:00","12","12.3","11.8","85","5.8"
"Helsinki Kumpula","2021","10","8","14:00","12","12.1","11.9","85","4.1"
"Helsinki Kumpula","2021","10","8","15:00","11.9","12","11.7","85","4.8"
"Helsinki Kumpula","2021","10","8","16:00","11.6","11.7","11.4","87","4.5"
"Helsinki Kumpula","2021","10","8","17:00","11.4","11.5","11.4","89","4.6"
"Helsinki Kumpula","2021","10","8","18:00","11.4","11.5","11.3","89","4.3"
"Helsinki Kumpula","2021","10","8","19:00","11.4","11.4","11.3","90","5.2"
"Helsinki Kumpula","2021","10","8","20:00","11.3","11.4","11.2","90","5.6"
"Helsinki Kumpula","2021","10","8","21:00","11.2","11.3","11.1","89","4.9"
"Helsinki Kumpula","2021","10","8","22:00","11.2","11.3","11.1","90","4.5"
"Helsinki Kumpula","2021","10","8","23:00","11.2","11.2","11.1","90","4.6"
"Helsinki Kumpula","2021","10","9","00:00","11","11.1","10.9","92","4.3"
"Helsinki Kumpula","2021","10","9","01:00","11.1","11.1","11","92","3.8"
"Helsinki Kumpula","2021","10","9","02:00","11.1","11.2","11.1","93","4"
"Helsinki Kumpula","2021","10","9","03:00","11.2","11.2","11.1","94","3.9"
"Helsinki Kumpula","2021","10","9","04:00","11.1","11.2","11","95","3.9"
"Helsinki Kumpula","2021","10","9","05:00","11","11.1","11","98","3.5"
"Helsinki Kumpula","2021","10","9","06:00","11.1","11.2","11.1","98","3.4"
"Helsinki Kumpula","2021","10","9","07:00","11.3","11.6","11.2","98","3.8"
"Helsinki Kumpula","2021","10","9","08:00","11.9","12.3","11.6","98","3.8"
"Helsinki Kumpula","2021","10","9","09:00","12.2","12.4","12","96","3.6"
"Helsinki Kumpula","2021","10","9","10:00","12.2","12.5","12.1","95","3.3"
"Helsinki Kumpula","2021","10","9","11:00","12.5","12.6","12.4","93","3.5"
"Helsinki Kumpula","2021","10","9","12:00","12.8","13.4","12.4","91","3.5"
"Helsinki Kumpula","2021","10","9","13:00","12.9","13.2","12.6","89","4.5"
"Helsinki Kumpula","2021","10","9","14:00","12.4","12.7","12.1","89","4.1"
"Helsinki Kumpula","2021","10","9","15:00","12.1","12.2","11.9","91","4.2"
"Helsinki Kumpula","2021","10","9","16:00","11.8","11.9","11.6","93","4.2"
"Helsinki Kumpula","2021","10","9","17:00","11.3","11.6","11.2","95","4.5"
"Helsinki Kumpula","2021","10","9","18:00","11.1","11.3","11","97","4.7"
"Helsinki Kumpula","2021","10","9","19:00","10.8","11","10.6","96","5.5"
"Helsinki Kumpula","2021","10","9","20:00","10.5","10.6","10.4","97","5.5"
"Helsinki Kumpula","2021","10","9","21:00","10.5","10.5","10.5","98","5.4"
"Helsinki Kumpula","2021","10","9","22:00","10.5","10.6","10.5","98","5.7"
"Helsinki Kumpula","2021","10","9","23:00","10.5","10.5","10.4","99","5.9"
"Helsinki Kumpula","2021","10","10","00:00","10.7","10.9","10.5","99","5"
"Helsinki Kumpula","2021","10","10","01:00","11","11.1","10.9","99","5.1"
"Helsinki Kumpula","2021","10","10","02:00","11.1","11.1","11.1","99","5.4"
"Helsinki Kumpula","2021","10","10","03:00","11.1","11.2","11.1","98","5.4"
"Helsinki Kumpula","2021","10","10","04:00","11.1","11.2","11.1","96","5.6"
"Helsinki Kumpula","2021","10","10","05:00","11.1","11.2","11","94","6.5"
"Helsinki Kumpula","2021","10","10","06:00","11.1","11.2","11","93","6.9"
"Helsinki Kumpula","2021","10","10","07:00","11.2","11.2","11","92","7.6"
"Helsinki Kumpula","2021","10","10","08:00","11","11.1","10.9","94","7.1"
"Helsinki Kumpula","2021","10","10","09:00","11.6","11.9","11.1","92","7.1"
"Helsinki Kumpula","2021","10","10","10:00","11.9","12","11.7","90","6.4"
"Helsinki Kumpula","2021","10","10","11:00","11.8","12.2","11.6","89","6.8"
"Helsinki Kumpula","2021","10","10","12:00","11.8","12.1","11.6","88","6.2"
"Helsinki Kumpula","2021","10","10","13:00","11.7","11.9","11.6","88","6.4"
"Helsinki Kumpula","2021","10","10","14:00","11.4","11.5","11.2","88","7.4"
"Helsinki Kumpula","2021","10","10","15:00","11","11.2","10.5","82","8.6"
"Helsinki Kumpula","2021","10","10","16:00","10.8","10.9","10.5","83","7.5"
"Helsinki Kumpula","2021","10","10","17:00","10.9","11","10.8","86","6.8"
"Helsinki Kumpula","2021","10","10","18:00","10.8","11","10.7","85","6.8"
"Helsinki Kumpula","2021","10","10","19:00","10.9","11","10.8","85","8.4"
"Helsinki Kumpula","2021","10","10","20:00","11","11.1","10.9","86","8.5"
"Helsinki Kumpula","2021","10","10","21:00","11","11.1","10.9","86","8.3"
"Helsinki Kumpula","2021","10","10","22:00","10.9","11","10.9","86","8.8"
"Helsinki Kumpula","2021","10","10","23:00","10.8","10.9","10.7","88","7.8"
"Helsinki Kumpula","2021","10","11","00:00","10.7","10.8","10.6","88","7.9"
"Helsinki Kumpula","2021","10","11","01:00","10.8","10.8","10.7","88","7.1"
"Helsinki Kumpula","2021","10","11","02:00","10.7","10.8","10.7","88","7.1"
"Helsinki Kumpula","2021","10","11","03:00","10.5","10.7","10.3","87","7.2"
"Helsinki Kumpula","2021","10","11","04:00","10.4","10.6","10.3","86","7.4"
"Helsinki Kumpula","2021","10","11","05:00","10.1","10.3","10.1","89","7.8"
"Helsinki Kumpula","2021","10","11","06:00","10.1","10.1","10.1","87","7.9"
"Helsinki Kumpula","2021","10","11","07:00","10.1","10.2","10","87","7.6"
"Helsinki Kumpula","2021","10","11","08:00","10.3","11","9.9","86","6.9"
"Helsinki Kumpula","2021","10","11","09:00","11.1","11.5","10.7","81","7.7"
"Helsinki Kumpula","2021","10","11","10:00","11.6","11.9","11.2","78","7.4"
"Helsinki Kumpula","2021","10","11","11:00","11.6","12.2","11.2","77","7.5"
"Helsinki Kumpula","2021","10","11","12:00","11.5","11.7","11.2","74","7.9"
"Helsinki Kumpula","2021","10","11","13:00","11.2","11.6","10.9","75","7"
"Helsinki Kumpula","2021","10","11","14:00","11.3","11.7","10.8","73","7.8"
"Helsinki Kumpula","2021","10","11","15:00","10.5","10.8","10.4","76","7"
"Helsinki Kumpula","2021","10","11","16:00","10.4","10.5","10.3","75","8.9"
"Helsinki Kumpula","2021","10","11","17:00","10","10.3","9.5","75","8.8"
"Helsinki Kumpula","2021","10","11","18:00","8.8","9.4","8.4","82","8.4"
"Helsinki Kumpula","2021","10","11","19:00","9","9.3","8.3","78","8.1"
"Helsinki Kumpula","2021","10","11","20:00","8.8","9.1","8.4","81","7.8"
"Helsinki Kumpula","2021","10","11","21:00","9.1","9.2","9","81","7.3"
"Helsinki Kumpula","2021","10","11","22:00","8.9","9.1","8.7","85","6.7"
"Helsinki Kumpula","2021","10","11","23:00","9.1","9.1","8.9","88","6"
"Helsinki Kumpula","2021","10","12","00:00","9.2","9.3","8.9","87","6.3"
"Helsinki Kumpula","2021","10","12","01:00","8.4","9.3","7.4","90","5.3"
"Helsinki Kumpula","2021","10","12","02:00","7.3","7.5","7.2","96","2.6"
"Helsinki Kumpula","2021","10","12","03:00","7.2","7.3","7","96","2.9"
"Helsinki Kumpula","2021","10","12","04:00","7.9","8.5","7.2","95","2.5"
"Helsinki Kumpula","2021","10","12","05:00","8.3","8.6","7.8","93","2.3"
"Helsinki Kumpula","2021","10","12","06:00","7.1","7.8","6.9","95","2.3"
"Helsinki Kumpula","2021","10","12","07:00","7.3","7.7","7","96","1.6"
"Helsinki Kumpula","2021","10","12","08:00","8.2","8.7","7.7","96","1.1"
"Helsinki Kumpula","2021","10","12","09:00","8.9","9.1","8.7","93","1.9"
"Helsinki Kumpula","2021","10","12","10:00","9.3","9.6","8.8","91","2.2"
"Helsinki Kumpula","2021","10","12","11:00","9.5","9.7","9.3","88","2"
"Helsinki Kumpula","2021","10","12","12:00","10.3","11.2","9.6","80","1.1"
"Helsinki Kumpula","2021","10","12","13:00","10.3","11","9.8","81","2.5"
"Helsinki Kumpula","2021","10","12","14:00","9.6","10","9.3","87","2.6"
"Helsinki Kumpula","2021","10","12","15:00","9.6","10.3","8.5","82","2.2"
"Helsinki Kumpula","2021","10","12","16:00","8.1","8.5","7.9","91","1.7"
"Helsinki Kumpula","2021","10","12","17:00","7.7","8.4","7.1","92","1.9"
"Helsinki Kumpula","2021","10","12","18:00","7.6","8","7.3","95","1.6"
"Helsinki Kumpula","2021","10","12","19:00","7.6","7.9","7.3","95","2.2"
"Helsinki Kumpula","2021","10","12","20:00","7.6","7.9","7.3","93","1.5"
"Helsinki Kumpula","2021","10","12","21:00","7.9","8","7.8","92","1.8"
"Helsinki Kumpula","2021","10","12","22:00","7.8","7.9","7.5","92","1.5"
"Helsinki Kumpula","2021","10","12","23:00","7.5","7.9","7.1","93","1.5"
"Helsinki Kumpula","2021","10","13","00:00","7.2","7.5","7","96","1.1"
"Helsinki Kumpula","2021","10","13","01:00","7.3","7.5","7","96","1.6"
"Helsinki Kumpula","2021","10","13","02:00","6.5","6.9","6.1","98","2.4"
"Helsinki Kumpula","2021","10","13","03:00","6.4","6.6","6.2","99","1.6"
"Helsinki Kumpula","2021","10","13","04:00","6.6","6.8","6.6","99","2.3"
"Helsinki Kumpula","2021","10","13","05:00","6.8","6.9","6.7","98","1.8"
"Helsinki Kumpula","2021","10","13","06:00","6.7","6.8","6.6","97","1.6"
"Helsinki Kumpula","2021","10","13","07:00","6.8","6.9","6.7","96","1.9"
"Helsinki Kumpula","2021","10","13","08:00","6.6","6.8","6.5","94","2.7"
"Helsinki Kumpula","2021","10","13","09:00","7.5","8","6.8","89","2.3"
"Helsinki Kumpula","2021","10","13","10:00","8.3","9","7.7","83","2.3"
"Helsinki Kumpula","2021","10","13","11:00","8.6","8.7","8.4","83","2.3"
"Helsinki Kumpula","2021","10","13","12:00","8.9","9.3","8.6","79","2.2"
"Helsinki Kumpula","2021","10","13","13:00","9.6","10.2","9.1","71","1.9"
"Helsinki Kumpula","2021","10","13","14:00","9.3","9.5","9.1","72","2.1"
"Helsinki Kumpula","2021","10","13","15:00","8.3","9.1","7.3","78","2"
"Helsinki Kumpula","2021","10","13","16:00","6.6","7.2","6","87","2.3"
"Helsinki Kumpula","2021","10","13","17:00","5.4","6","5","92","3"
"Helsinki Kumpula","2021","10","13","18:00","4.8","5","4.6","94","2.4"
"Helsinki Kumpula","2021","10","13","19:00","4.4","4.6","4","97","2.7"
"Helsinki Kumpula","2021","10","13","20:00","4.1","4.4","3.9","98","2.1"
"Helsinki Kumpula","2021","10","13","21:00","3.5","3.9","3.3","98","3"
"Helsinki Kumpula","2021","10","13","22:00","3.5","3.8","3.1","99","2.3"
"Helsinki Kumpula","2021","10","13","23:00","3.8","3.9","3.7","98","1.6"
"Helsinki Kumpula","2021","10","14","00:00","4.2","4.3","3.9","98","2"
"Helsinki Kumpula","2021","10","14","01:00","4.3","4.5","3.7","96","1.5"
"Helsinki Kumpula","2021","10","14","02:00","3.2","3.6","2.8","97","1.6"
"Helsinki Kumpula","2021","10","14","03:00","2.9","3.1","2.6","98","2.4"
"Helsinki Kumpula","2021","10","14","04:00","2.5","2.6","2.2","99","1.3"
"Helsinki Kumpula","2021","10","14","05:00","2.1","2.6","1.5","99","0.7"
"Helsinki Kumpula","2021","10","14","06:00","2.1","2.4","1.7","99","0.9"
"Helsinki Kumpula","2021","10","14","07:00","3.9","5.1","2.5","98","1.2"
"Helsinki Kumpula","2021","10","14","08:00","6.6","8","5","84","2.2"
"Helsinki Kumpula","2021","10","14","09:00","8.2","8.7","7.9","73","3.7"
"Helsinki Kumpula","2021","10","14","10:00","7.7","9","6.4","78","4.8"
"Helsinki Kumpula","2021","10","14","11:00","8.3","9.4","7.2","82","4.8"
"Helsinki Kumpula","2021","10","14","12:00","9.1","9.6","8.6","75","6.3"
"Helsinki Kumpula","2021","10","14","13:00","9","9.5","8.7","71","6.1"
"Helsinki Kumpula","2021","10","14","14:00","8.6","8.9","8.4","69","6.8"
"Helsinki Kumpula","2021","10","14","15:00","8.3","8.5","8","67","6"
"Helsinki Kumpula","2021","10","14","16:00","8.1","8.3","7.9","69","5.3"
"Helsinki Kumpula","2021","10","14","17:00","8.3","8.6","7.9","72","5.9"
"Helsinki Kumpula","2021","10","14","18:00","8.3","8.6","8.1","71","6.7"
"Helsinki Kumpula","2021","10","14","19:00","8.2","8.4","7.9","72","7.1"
"Helsinki Kumpula","2021","10","14","20:00","8.3","8.4","8.2","75","7.5"
"Helsinki Kumpula","2021","10","14","21:00","8.2","8.3","8.1","76","7.8"
"Helsinki Kumpula","2021","10","14","22:00","8.3","8.4","8.1","79","7"
"Helsinki Kumpula","2021","10","14","23:00","8","8.2","7.9","81","7.8"
"Helsinki Kumpula","2021","10","15","00:00","8","8.1","7.9","83","7.1"
"Helsinki Kumpula","2021","10","15","01:00","7.7","7.9","7.6","89","6"
